SKU,QtdEstoque,DataSnapshot,Laboratorio
23740,0,20/01/2026,BH Shopping
23741,0,20/01/2026,BH Shopping
23742,0,20/01/2026,BH Shopping
23744,0,20/01/2026,BH Shopping
23745,0,20/01/2026,BH Shopping
23746,0,20/01/2026,BH Shopping
23747,0,20/01/2026,BH Shopping
23748,0,20/01/2026,BH Shopping
23755,0,20/01/2026,BH Shopping
23807,0,20/01/2026,BH Shopping
23810,0,20/01/2026,BH Shopping
23814,0,20/01/2026,BH Shopping
23817,0,20/01/2026,BH Shopping
23818,0,20/01/2026,BH Shopping
23819,0,20/01/2026,BH Shopping
23820,0,20/01/2026,BH Shopping
23821,0,20/01/2026,BH Shopping
23822,0,20/01/2026,BH Shopping
23827,0,20/01/2026,BH Shopping
23828,0,20/01/2026,BH Shopping
23829,0,20/01/2026,BH Shopping
23830,3,20/01/2026,BH Shopping
23887,0,20/01/2026,BH Shopping
23893,2,20/01/2026,BH Shopping
23894,1,20/01/2026,BH Shopping
23895,2,20/01/2026,BH Shopping
23896,2,20/01/2026,BH Shopping
23897,3,20/01/2026,BH Shopping
23898,0,20/01/2026,BH Shopping
23899,2,20/01/2026,BH Shopping
23900,1,20/01/2026,BH Shopping
23901,1,20/01/2026,BH Shopping
23902,3,20/01/2026,BH Shopping
23903,0,20/01/2026,BH Shopping
23904,2,20/01/2026,BH Shopping
23905,0,20/01/2026,BH Shopping
23906,3,20/01/2026,BH Shopping
23907,2,20/01/2026,BH Shopping
23908,0,20/01/2026,BH Shopping
23909,0,20/01/2026,BH Shopping
23910,2,20/01/2026,BH Shopping
23911,2,20/01/2026,BH Shopping
23912,1,20/01/2026,BH Shopping
23913,0,20/01/2026,BH Shopping
23914,0,20/01/2026,BH Shopping
23915,3,20/01/2026,BH Shopping
23916,0,20/01/2026,BH Shopping
23917,0,20/01/2026,BH Shopping
23918,3,20/01/2026,BH Shopping
23919,1,20/01/2026,BH Shopping
23920,0,20/01/2026,BH Shopping
23921,0,20/01/2026,BH Shopping
23922,1,20/01/2026,BH Shopping
23923,1,20/01/2026,BH Shopping
23924,0,20/01/2026,BH Shopping
23925,0,20/01/2026,BH Shopping
23926,0,20/01/2026,BH Shopping
23927,1,20/01/2026,BH Shopping
23928,2,20/01/2026,BH Shopping
23929,2,20/01/2026,BH Shopping
23930,0,20/01/2026,BH Shopping
23931,0,20/01/2026,BH Shopping
23932,3,20/01/2026,BH Shopping
23934,3,20/01/2026,BH Shopping
23935,0,20/01/2026,BH Shopping
23936,2,20/01/2026,BH Shopping
23937,0,20/01/2026,BH Shopping
23938,1,20/01/2026,BH Shopping
23939,2,20/01/2026,BH Shopping
23940,2,20/01/2026,BH Shopping
23941,0,20/01/2026,BH Shopping
23942,0,20/01/2026,BH Shopping
23943,3,20/01/2026,BH Shopping
23944,0,20/01/2026,BH Shopping
23945,3,20/01/2026,BH Shopping
23946,1,20/01/2026,BH Shopping
23947,0,20/01/2026,BH Shopping
23948,0,20/01/2026,BH Shopping
23949,3,20/01/2026,BH Shopping
23950,3,20/01/2026,BH Shopping
23951,2,20/01/2026,BH Shopping
23952,0,20/01/2026,BH Shopping
23953,0,20/01/2026,BH Shopping
23954,0,20/01/2026,BH Shopping
23955,0,20/01/2026,BH Shopping
23956,3,20/01/2026,BH Shopping
23958,1,20/01/2026,BH Shopping
23960,3,20/01/2026,BH Shopping
23961,0,20/01/2026,BH Shopping
23962,2,20/01/2026,BH Shopping
23963,1,20/01/2026,BH Shopping
23964,0,20/01/2026,BH Shopping
23965,5,20/01/2026,BH Shopping
23966,0,20/01/2026,BH Shopping
23967,0,20/01/2026,BH Shopping
23968,1,20/01/2026,BH Shopping
23969,0,20/01/2026,BH Shopping
23970,0,20/01/2026,BH Shopping
23971,2,20/01/2026,BH Shopping
23972,0,20/01/2026,BH Shopping
23973,9,20/01/2026,BH Shopping
23974,0,20/01/2026,BH Shopping
23975,3,20/01/2026,BH Shopping
23976,2,20/01/2026,BH Shopping
23977,0,20/01/2026,BH Shopping
23978,0,20/01/2026,BH Shopping
23979,0,20/01/2026,BH Shopping
23980,2,20/01/2026,BH Shopping
23981,3,20/01/2026,BH Shopping
23982,1,20/01/2026,BH Shopping
23983,3,20/01/2026,BH Shopping
23984,3,20/01/2026,BH Shopping
23985,1,20/01/2026,BH Shopping
23986,1,20/01/2026,BH Shopping
23987,0,20/01/2026,BH Shopping
23988,2,20/01/2026,BH Shopping
23989,0,20/01/2026,BH Shopping
23990,0,20/01/2026,BH Shopping
23991,0,20/01/2026,BH Shopping
23992,0,20/01/2026,BH Shopping
23993,2,20/01/2026,BH Shopping
23994,1,20/01/2026,BH Shopping
23995,3,20/01/2026,BH Shopping
23996,2,20/01/2026,BH Shopping
23997,0,20/01/2026,BH Shopping
23998,1,20/01/2026,BH Shopping
24000,3,20/01/2026,BH Shopping
24001,2,20/01/2026,BH Shopping
24002,1,20/01/2026,BH Shopping
24003,2,20/01/2026,BH Shopping
24004,1,20/01/2026,BH Shopping
24005,2,20/01/2026,BH Shopping
24006,0,20/01/2026,BH Shopping
24007,1,20/01/2026,BH Shopping
24008,0,20/01/2026,BH Shopping
